recruitment_seq,address_seq1,address_seq2,address_seq3,career_end,career_start,check_box_keyword,education,major_task,qualifications,text_keyword
R03342,3.0,,,0,0,2108;2707;2810,3,2,1,
R06406,3.0,,,0,0,2507;2204,3,2,1,
R03737,3.0,,,0,0,2507;2707,2,2,1,
R05354,3.0,,,0,0,2109,4,2,1,
R05585,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R02300,3.0,,,0,0,2101;2108;2201;2707,3,2,2,
R00929,3.0,,,0,0,2101;2108;2201;2507;2707,4,2,1,BUYING;MD;디자이너
R04005,3.0,,,0,0,2507;2707,4,2,1,
R05507,3.0,,,0,0,2101;2108;2113;2201;2707;3103;3199,4,2,2,
R02221,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R00600,3.0,,,0,0,2108;2109;2707;2810,3,2,1,
R02664,3.0,,,0,0,2507;2707;2810,3,2,1,
R04296,3.0,,,0,0,2507;2707,2,2,1,
R03038,3.0,,,0,0,2507;2707,4,2,1,
R02351,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R05818,3.0,,,0,0,2507,3,2,1,
R00957,3.0,,,0,0,2101;2108;2201;2204;2205;2707,2,2,2,
R00212,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,2,
R06659,3.0,,,0,0,2507;2707,3,2,1,
R01458,3.0,,,0,0,2101;2108;2201;2707;2810,3,2,2,
R03335,5.0,,,0,0,2201;2204;2205;2707,4,2,2,
R06374,3.0,,,0,0,2707;2507,3,2,1,텍스타일;의류;여성복
R06381,3.0,,,0,0,2101;2108;2201;2507;2703;2707,2,2,1,
R03474,3.0,,,0,0,2707;2507;2205;2204;2201;2101,4,2,1,
R04822,3.0,,,0,0,2507;2707,3,2,2,
R05654,5.0,,,0,0,2201;2204;2205;2707,2,2,1,
R00118,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R00779,3.0,,,0,0,2503;2507;2707;2799;3199,2,2,2,
R04690,3.0,,,0,0,2507;2707;2810,4,2,1,
R06192,3.0,,,0,0,2101;2108;2201;2204;2205;2501;2507;2703;2707;2810,4,2,2,
R01720,3.0,,,0,0,2707;2507;2204;2201,3,2,1,
R01311,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R00919,3.0,,,0,0,2101;2102;2108;2201;2204;2205;2707,3,2,1,
R05490,3.0,,,0,0,2507;2703;2707,3,2,1,스타일;소재;디자인
R05741,3.0,,,0,0,2101;2108;2201;2707,2,2,1,상품MD;상품기획;남성복
R06348,3.0,,,0,0,2507;2707;2810,2,2,1,
R04381,3.0,,,0,0,2101;2108;2201;2707,2,2,1,
R04450,3.0,,,0,0,2507;2707,4,2,2,
R01395,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R05589,3.0,,,0,0,2707;2507;2204,3,2,2,
R02515,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R01751,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R00486,5.0,,,0,0,2205;2204;2201,3,2,2,매장관리;의류판매;판매영업;판매관리;영업관리
R02756,3.0,,,0,0,2507;2707;2810,3,2,1,
R05432,3.0,,,0,0,2507;2707,3,2,1,
R05461,3.0,,,0,0,2101;2108;2201;2707,4,2,2,
R02095,3.0,,,0,0,2501;2507;2707,3,2,2,
R06407,3.0,,,0,0,2501;2507;2707,3,2,1,
R02433,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R01490,3.0,,,0,0,2101;2104;2105;2707;3008;3099,4,2,1,
R00215,3.0,,,0,0,2507;2707,3,2,1,JEEP;캐주얼;디자이너
R04944,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R03470,3.0,,,0,0,2101;2108;2201;2507;2707,3,2,1,
R01957,3.0,,,0,0,2101;2109;2110;2203;2707,4,2,1,
R05656,3.0,,,0,0,2204;2205;2707,2,2,1,
R01195,3.0,,,0,0,2507;2707,3,2,1,
R04004,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,2,
R01316,3.0,,,0,0,2101;2108;2201;2707,3,2,1,머천다이저;캐주얼웨어;MD
R05124,3.0,,,0,0,2507;2707,3,2,2,
R00857,3.0,,,0,0,2101;2108;2110;2201;2707,3,2,1,
R03886,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,1,
R06346,3.0,,,0,0,2201;2204;2205;2707,2,2,2,
R01899,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2204;2205;2707,4,2,1,
R02495,3.0,,,0,0,2201;2204;2205;2707,2,2,2,
R03934,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R06607,3.0,,,0,0,2507;2707,3,2,2,
R02917,3.0,,,0,0,2507;2707;2810,2,2,1,
R00877,3.0,,,0,0,2507;2104;2199,4,2,1,의류;상품기획;의상
R05257,3.0,,,0,0,2101;2104;2105;2707;3008;3099,2,2,2,
R03725,3.0,,,0,0,2507;2707,3,2,1,
R02093,3.0,,,0,0,2507;2204;2201,4,1,1,
R04051,3.0,,,0,0,2507;2707;2799,3,2,1,
R06024,3.0,,,0,0,2507;2707,3,2,1,
R03113,3.0,,,0,0,2101;2108;2201;2707,3,8,1,여성복MD;기획MD
R02783,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R01183,3.0,,,0,0,2101;2108;2201;2204;2205;2707,2,2,2,
R01013,3.0,,,0,0,2101;2108;2201;2204;2205;2707,4,2,1,
R00730,5.0,,,0,0,2201;2204;2205;2707,3,2,2,
R02625,3.0,,,0,0,2109;2302;2303;2507;2707,4,2,2,
R04563,3.0,,,0,0,2204;2205;2707,3,2,2,
R02309,3.0,,,0,0,2101;2108;2201;2507;2703;2707,3,2,2,
R01253,3.0,,,0,0,2507,3,2,1,
R06321,3.0,,,0,0,2507;2707,2,2,2,
R03203,3.0,,,0,0,2101;2104;2105;2201;2204;2205;2507;2707;3008;3099,3,2,2,
R06177,3.0,,,0,0,2507;2707,4,2,1,
R04365,3.0,,,0,0,2201;2204,3,2,1,
R00607,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R02762,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,1,
R02107,3.0,,,0,0,2101;2108;2201;2707,3,2,2,
R06222,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R01017,3.0,,,0,0,2101;2102;2201;2204;2205;2707,4,2,2,
R05427,3.0,,,0,0,2507;2707,4,2,2,
R02257,3.0,,,0,0,2507;2707,3,2,1,스타일디자인(피팅)
R06684,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R03822,3.0,,,0,0,2507;2707,3,2,1,
R00724,3.0,,,0,0,2599;2507;2707,2,2,2,
R01053,3.0,,,0,0,2507;2707,3,2,2,
R04559,3.0,,,0,0,2101;2108;2201;2707,2,2,2,
R01155,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R03444,3.0,,,0,0,2109;2203;2302;2707,4,2,2,
R05410,3.0,,,0,0,2204;2205;2707;3007,3,2,1,
R00912,3.0,,,0,0,2105;2201;2303;2507;2707,3,2,1,의류;섬유;의복;의상;남성복;여성복
R00081,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,2,
R03653,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R03026,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R00031,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R03417,3.0,,,0,0,2108;2109;2707;2810,3,2,1,
R02229,3.0,,,0,0,2204;2201;2299;2205;2707;2507,2,2,2,
R00495,3.0,,,0,0,2501;2507;2703;2707,4,2,1,
R01263,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,2,영업
R01440,3.0,,,0,0,2108;2109;2507;2707,3,2,1,
R03175,3.0,,,0,0,2201;2204;2205;2707,4,2,2,
R01370,3.0,,,0,0,2204;2205;2707,3,2,1,
R00597,3.0,,,0,0,2101;2108;2201;2204;2205;2507;2707,3,2,1,
R04477,3.0,,,0,0,2101;2104;2105;2201;2204;2205;2707;3008,4,2,1,
R01565,3.0,,,0,0,2108;2707;2810,3,2,2,
R06517,3.0,,,0,0,2507;2707,4,2,1,
R02778,3.0,,,0,0,2101;2108;2201;2707,3,2,2,MD;상품기획
R00656,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R06114,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,1,
R06035,3.0,,,0,0,2707;2205;2204;2201;2101;2507,3,2,1,의류;섬유;의복;영업기획;의상
R06382,3.0,,,0,0,2204;2205;2707,4,2,2,
R00702,3.0,,,0,0,2507;2707,2,2,1,
R03332,3.0,,,0,0,2501;2507;2707;2810,2,2,1,
R05146,3.0,,,0,0,2101;2104;2105;2707;3008;3099,3,2,1,
R00503,3.0,,,0,0,2101;2201;2204;2205;2507;2707,2,2,1,
R04511,3.0,,,0,0,2507;2707,3,2,1,
R01614,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R05965,3.0,,,0,0,2507;2707;2799,4,2,1,
R00852,3.0,,,0,0,2507;2707,2,2,1,
R03485,3.0,,,0,0,2101;2109;2110;2203;2707,2,2,2,
R00678,3.0,,,0,0,2501;2507;2707;2810,3,2,1,
R00899,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R04558,3.0,,,0,0,2108;2109;2110;2203;2204;2299;2707;2810,4,2,1,
R03731,3.0,,,0,0,2507;2707,4,2,2,니트;디자이너;여성복
R04632,3.0,,,0,0,2102;2202;2201;2707;2110,4,2,1,
R03671,3.0,,,0,0,2201;2204;2205;2707,3,2,2,
R06613,3.0,,,0,0,2507;2707;2810,3,2,2,
R01532,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R01819,3.0,,,0,0,2108;2707;2810,2,2,1,생산
R01838,5.0,,,0,0,2101;2108;2201;2707,2,2,1,
R05567,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,1,
R01270,3.0,,,0,0,2201;2507;2707,4,2,1,의류;의복;의상;판매영업;남성복;영업관리
R04952,5.0,,,0,0,2101;2201;2204;2205;2707,3,2,2,
R01864,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2204;2205;2707,4,2,1,
R03574,3.0,,,0,0,2201;2204;2205;2707,4,2,2,영업;르까프;스포츠;매장
R01164,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R00869,3.0,,,0,0,2507;2707,2,2,2,
R04063,3.0,,,0,0,2507;2703;2707,3,7,2,
R00164,3.0,,,0,0,2109,2,2,2,
R06219,3.0,,,0,0,2507;2707,3,2,1,
R01589,3.0,,,0,0,2201;2204;2205;2707,3,2,1,영업관리
R00051,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R01539,3.0,,,0,0,2507;2703;2707,3,2,1,
R04994,3.0,,,0,0,2206,4,2,2,
R02734,3.0,,,0,0,2101;2109;2110;2203;2707,4,2,1,
R01796,3.0,,,0,0,2201;2204;2205;2707,3,7,1,
R04856,3.0,,,0,0,2101;2108;2201;2507;2707,3,2,2,
R01084,3.0,,,0,0,2707;2507;2204;2201,3,8,1,
R06473,3.0,,,0,0,2507;2707,2,2,1,
R00726,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R00623,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R04594,3.0,,,0,0,2507;2707,4,2,2,
R04106,3.0,,,0,0,2501;2507;2703;2707,4,2,1,
R03845,3.0,,,0,0,2108;2707;2810,2,2,1,
R06690,3.0,,,0,0,2108;2109;2707;2810,2,2,1,
R03943,3.0,,,0,0,2108;2707;2810,3,2,1,DISCOVERY;아웃도어;생산관리
R00527,3.0,,,0,0,2707,2,2,2,
R02900,3.0,,,0,0,2501;2507;2707,2,1,1,
R03712,3.0,,,0,0,2507;2707,4,2,1,
R04485,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R01915,3.0,,,0,0,2507;2707,3,2,2,
R04438,3.0,,,0,0,2101;2102;2108;2201;2204;2205;2206;2302,4,2,1,
R00393,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,2,
R04507,3.0,,,0,0,2507;2707,3,8,2,
R04996,3.0,,,0,0,2302;2303;2501;2507,3,2,2,
R06470,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R05746,3.0,,,0,0,2501;2507;2707;2810,2,8,2,
R05660,3.0,,,0,0,2501;2507,4,8,1,
R01865,3.0,,,0,0,2108;2707;2810,3,2,1,
R04768,3.0,,,0,0,2507;2707,4,2,1,
R03450,3.0,,,0,0,2507;2707;2810,2,2,1,
R00776,3.0,,,0,0,2507;2707;2799,2,2,1,
R00643,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,2,영업MD
R06099,3.0,,,0,0,2101;2108;2109;2201;2501;2507;2707,4,2,2,
R01891,3.0,,,0,0,2101;2102;2108;2201;2204;2205;2507;2707;2810,4,2,1,셔츠MD;브랜드총괄;생산;기획;사업부총괄;남성복MD;영업;마케팅;남성복디자이너
R02979,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,1,
R05073,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R05847,3.0,,,0,0,2101;2108;2109;2113;2201;2507;2707;3103,2,2,1,
R01015,3.0,,,0,0,2507;2707,4,2,1,
R01718,3.0,,,0,0,2507;2707,2,2,2,
R04132,3.0,,,0,0,2507;2707,2,2,1,
R01343,3.0,,,0,0,2101;2108;2201;2707,4,2,1,기획MD
R06289,5.0,,,0,0,2101;2201;2204;2205;2707,4,2,2,
R06171,3.0,,,0,0,2507;2707,3,2,1,
R05418,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R03649,5.0,,,0,0,2101;2108;2201;2707;2810,4,2,1,
R02342,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R00549,3.0,,,0,0,2507;2707,2,2,1,
R00372,3.0,,,0,0,2101;2104;2105;2108;2201;2707;3008;3099,3,2,1,
R00422,3.0,,,0,0,2102;2707,3,2,2,
R05621,3.0,,,0,0,2507;2703;2707,3,2,2,
R02010,3.0,,,0,0,2501;2507;2707,3,2,1,
R00898,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R00050,3.0,,,0,0,2204;2205;2707;3007,4,2,1,
R03494,3.0,,,0,0,2108;2109;2110;2203;2204;2299;2707,4,2,1,
R00568,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R00715,3.0,,,0,0,2507,3,2,1,
R05766,3.0,,,0,0,2707;2507,3,2,1,
R00781,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R05720,3.0,,,0,0,2101;2108;2201;2204;2205;2707,3,2,2,
R06678,3.0,,,0,0,2507;2707,3,2,2,
R04791,3.0,,,0,0,2507;2707;2201;2204,3,2,1,
R05282,3.0,,,0,0,2101;2108;2201;2707;2810,3,2,2,
R01063,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R01719,3.0,,,0,0,2101;2108;2201;2501;2507;2707;2810,4,2,2,
R03340,3.0,,,0,0,2108;2111;2707,3,2,2,
R02263,3.0,,,0,0,2201;2204;2205;2707,3,2,1,영업관리
R00102,3.0,,,0,0,2507;2707;2810,3,2,1,
R05233,3.0,,,0,0,2201;2204;2205;2707,3,2,2,
R02607,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R04463,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R01407,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R01713,3.0,,,0,0,2101;2108;2201;2507;2707;2810,3,2,1,
R04142,5.0,,,0,0,2507;2707,2,2,2,
R04943,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R06231,3.0,,,0,0,2507;2707,3,2,1,
R02824,3.0,,,0,0,2507;2707,3,2,2,
R06333,3.0,,,0,0,2507,3,2,1,
R01181,3.0,,,0,0,2507;2707,4,2,1,
R02789,3.0,,,0,0,2201;2204;2205;2707,3,2,2,
R06464,3.0,,,0,0,2108;2101;2707,3,2,2,
R04832,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,1,
R04418,3.0,,,0,0,2101;2108;2201;2707,3,2,2,
R02456,3.0,,,0,0,2101;2108;2201;2707;2810,3,2,1,
R02099,3.0,,,0,0,2201;2204;2205;2707,3,2,1,매장관리;영업기획;판매영업;판매관리;일반영업;영업관리;영업지원
R00101,3.0,,,0,0,2707;2507;2503,3,2,2,
R03959,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R04169,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2204;2205,4,2,1,
R01502,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,2,
R04736,3.0,,,0,0,2507;2707,3,2,2,
R03794,3.0,,,0,0,2101;2108;2201;2507;2707,3,8,2,
R06686,3.0,,,0,0,2108;2109;2707;2810,3,2,1,
R05084,3.0,,,0,0,2204;2205;2707,4,2,1,
R04422,3.0,,,0,0,2501;2505;2506;2507;2707,3,2,2,
R01128,3.0,,,0,0,2507;2707,4,2,1,
R01399,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,2,
R03264,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R01303,3.0,,,0,0,2507;2707;2810,3,2,1,
R03552,3.0,,,0,0,2507,3,2,1,
R01960,3.0,,,0,0,2507;2707,3,2,1,피팅;캐주얼웨어;디자이너;캐주얼
R03305,3.0,,,0,0,2108;2111;2201;2204;2205;2707,3,2,2,
R05475,3.0,,,0,0,2101;2108;2201;2707,3,2,2,기획MD
R00011,3.0,,,0,0,2101;2108;2201;2707,3,7,1,
R04351,3.0,,,0,0,2201;2204;2205;2707,3,2,1,영업팀;상설
R04456,3.0,,,0,0,2101;2201;2204;2205;2707,3,8,1,영업MD;인턴;MD;TANKUS;탱커스
R00872,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R03641,3.0,,,0,0,2507;2707;2201;2204;2110;2109,2,2,2,
R05726,3.0,,,0,0,2108;2110;2203;2204;2299;2707;2810,4,2,1,
R00736,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,1,
R02137,3.0,,,0,0,2204;2205;2501;2507;2707;3007,4,2,2,
R03233,3.0,,,0,0,2201;2204;2205;2707,4,2,2,
R03906,3.0,,,0,0,2507;2707,4,2,2,
R02737,3.0,,,0,0,2201;2204;2205;2707,4,2,1,영업
R04261,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R00055,3.0,,,0,0,2507;2707,2,2,1,
R02104,3.0,,,0,0,2507;2707,3,8,1,
R04625,11.0,,,0,0,2201;2204;2205;2707,2,2,2,
R05122,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R01523,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R03935,3.0,,,0,0,2205;2507;2707,3,2,1,
R04221,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R02124,3.0,,,0,0,2507;2707,2,8,2,
R00188,3.0,,,0,0,2507;2703;2707,2,2,1,
R01958,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,2,
R04692,3.0,,,0,0,2101;2108;2201;2204;2205;2707,3,2,1,
R01613,3.0,,,0,0,2707;2101,4,2,2,
R05583,3.0,,,0,0,2501;2507;2703;2707,4,2,2,
R04569,3.0,,,0,0,2204;2205;2507;2707,2,2,1,
R02483,3.0,,,0,0,2507;2707,3,7,1,
R05709,3.0,,,0,0,2507;2707,3,2,1,
R06428,3.0,,,0,0,2201;2204;2205;2707,3,2,2,
R00571,5.0,,,0,0,2101;2108;2201;2507;2707;2810,4,2,1,
R05916,3.0,,,0,0,2201;2204;2205;2507;2707,4,2,1,아웃도어;전통
R02355,3.0,,,0,0,2101;2108;2201;2707,2,2,2,
R02261,3.0,,,0,0,2201;2204,2,2,2,
R05687,3.0,,,0,0,2507;2703;2707,4,2,1,
R05610,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R01459,3.0,,,0,0,2201;2204;2507;2707,4,2,1,
R03643,3.0,1.0,,0,0,2799;2707;2507;2204;2202;2201,3,2,1,
R04431,3.0,,,0,0,2707;2507;2204;2201,3,2,2,의류;영업관리;영업지원
R05572,3.0,,,0,0,2101;2507;2707,4,2,1,
R00711,3.0,,,0,0,2507;2707,3,2,1,
R05570,3.0,,,0,0,2101;2104;2105;2707;3008;3099,4,2,1,
R02480,3.0,,,0,0,2507;2707,4,2,1,
R00942,3.0,,,0,0,2707,3,2,1,
R00034,3.0,,,0,0,2507;2707,2,2,2,의류;의상;섬유;의복
R00229,3.0,,,0,0,2108;2109;2707;2810,3,2,2,
R00142,3.0,,,0,0,2507;2707,3,2,1,
R03072,3.0,,,0,0,2201;2204;2205;2707,2,2,2,
R00161,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,1,
R05154,3.0,,,0,0,2707;2507;2204;2201,3,2,1,
R01594,3.0,,,0,0,2201;2204;2205;2707,4,2,1,영업MD;영업기획;SPA
R02259,3.0,,,0,0,2201;2204;2205;2707,3,2,1,영업
R04982,3.0,,,0,0,2110,4,2,1,
R00888,3.0,,,0,0,2101;2108;2201;2707,3,2,2,상품기획;머천다이저;MD
R00239,3.0,,,0,0,2201;2204;2205;2707,4,2,2,
R03802,3.0,,,0,0,2101;2108;2201;2204;2205;2707,2,2,0,
R06572,3.0,,,0,0,2101;2108;2201;2507;2707,4,2,2,신입;상품기획;경력;디자이너;MD;SJSJ;한섬;SYSTEM
R02901,3.0,,,0,0,2501;2507,2,8,1,
R00138,3.0,,,0,0,2101;2108;2201;2707,3,2,2,
R06336,3.0,,,0,0,2507;2201,4,2,1,
R06060,3.0,,,0,0,2707;2507,4,2,2,
R01752,3.0,,,0,0,2204;2205;2707,4,2,2,라운딩;매장;VMD;코디;오브제
R05244,3.0,,,0,0,2201,4,2,1,
R05618,3.0,,,0,0,2101;2104;2105;2108;2707;2810;3008;3099,2,2,1,
R01506,3.0,,,0,0,2707;2201,4,2,1,
R04757,3.0,,,0,0,2109;2201;2203;2204;2205;2302;2507;2707,3,2,1,
R03404,3.0,,,0,0,2101;2108;2201;2707,2,2,1,
R03856,3.0,,,0,0,2204,3,2,2,
R03996,3.0,,,0,0,2101;2108;2201;2204;2205;2507;2707,4,2,1,
R03688,3.0,,,0,0,2507,3,2,1,
R03749,3.0,,,0,0,2204;2205;2507;2707,3,2,2,
R00358,3.0,,,0,0,2201;2204;2205;2707,3,2,2,
R00173,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R05185,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R00139,3.0,,,0,0,2507;2707;2503,4,2,1,
R02153,3.0,,,0,0,2507;2707,3,2,1,
R03066,3.0,,,0,0,2204;2205;2707,2,2,2,
R05368,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R01624,3.0,,,0,0,2810;2707;2507;2503;2108,3,2,1,
R01807,3.0,,,0,0,2507;2707,3,2,2,
R04149,3.0,,,0,0,2108;2109;2707;2810,2,2,1,
R02265,3.0,,,0,0,2101;2108;2201;2707,3,2,2,
R05625,3.0,,,0,0,2507;2707,4,2,2,
R06496,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R04961,3.0,,,0,0,2101;2108;2201;2707,4,8,1,
R05228,3.0,,,0,0,2707;2507;2299;2205;2204;2201;2199;2111;2110,3,2,1,
R02231,3.0,,,0,0,2113;2707;3103;3199,2,2,1,
R06589,3.0,,,0,0,2108;2707;2810,3,2,1,
R05911,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R02634,5.0,,,0,0,2101;2108;2201;2707,4,2,1,
R03614,3.0,,,0,0,2507,3,2,1,
R02004,3.0,,,0,0,2101;2108;2201;2507;2707,3,2,1,
R06229,3.0,,,0,0,2501;2507;2707;2810,4,2,1,
R05755,3.0,,,0,0,2101;2111;2201;2507;2707,3,2,1,편집샵;의류;섬유;의복;상품MD;의상;사입MD
R06482,3.0,,,0,0,2108;2707;2810,3,2,1,
R03460,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R01449,3.0,,,0,0,2507;2707,3,2,1,
R03566,3.0,,,0,0,2507;2707,3,2,2,
R02291,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R02048,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R00357,3.0,,,0,0,2507;2707,4,8,1,
R05320,3.0,,,0,0,2109;2203;2302;2707,2,7,1,
R03458,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R00043,3.0,,,0,0,2507;2707,4,2,1,
R05300,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,1,
R02055,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,2,
R05533,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R05371,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,1,
R03288,3.0,,,0,0,2507;2707;2810,4,2,1,
R03387,3.0,,,0,0,2501;2507,3,2,2,
R04601,3.0,,,0,0,2101;2104;2105;2110;2203;2204;2299;2707,4,2,2,
R06001,3.0,,,0,0,2101;2108;2201;2707,3,2,2,
R01607,3.0,,,0,0,2201;2204;2205;2507;2707,3,2,1,
R02175,3.0,,,0,0,2201;2204;2205;2707,3,2,1,
R04445,3.0,,,0,0,2102;2707,3,2,2,
R00911,3.0,,,0,0,2507;2707,4,2,2,
R04199,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,2,
R02670,3.0,,,0,0,2201;2204;2205;2707,2,2,1,
R01430,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,
R06181,3.0,,,0,0,2101;2201;2204;2205;2707,2,2,1,
R05088,3.0,,,0,0,2507;2707,3,2,2,
R04939,3.0,,,0,0,2507;2707,3,2,1,
R01659,3.0,,,0,0,2101;2108;2201;2204;2205;2707;2810,3,2,1,
R00759,3.0,,,0,0,2507;2101,4,2,1,의류;상품기획;의복;머천다이저;의상;상품개발;개발기획;여성복;사업기획
R03489,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,1,
R06042,5.0,,,0,0,2507;2707;2810,4,2,1,
R03799,3.0,,,0,0,2108;2707;2810,4,2,1,
R06064,3.0,,,0,0,2101;2104;2105;2201;2204;2205;2707;3008;3099,2,2,1,
R06239,3.0,,,0,0,2108;2109;2707;2810,3,2,1,
R04759,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R05408,3.0,,,0,0,2201;2506;2507,3,2,2,
R01300,3.0,,,0,0,2101;2108;2201;2707,4,2,1,
R01160,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2707,2,2,1,
R04968,3.0,2.0,,0,0,2507;2707;2205;2201,2,2,1,
R02539,3.0,,,0,0,2201;2204;2205;2707,4,2,2,
R06298,3.0,,,0,0,2201,4,2,2,판매영업;영업기획;일반영업
R04758,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R00386,3.0,,,0,0,2507;2703;2707,3,2,2,
R04653,3.0,,,0,0,2507;2707,4,2,1,
R02421,3.0,,,0,0,2102;2707,4,8,1,
R03073,3.0,,,0,0,2108;2707;2810,2,2,2,
R03033,3.0,,,0,0,2101;2108;2201;2707,3,2,2,
R02253,3.0,1.0,,0,0,2507,3,2,1,
R05246,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R06410,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R01511,3.0,,,0,0,2101;2104;2105;2110;2507,4,2,1,
R00315,3.0,,,0,0,2101;2108;2201;2707,3,2,1,
R00263,3.0,,,0,0,2101;2201;2204;2205;2707,4,2,1,매장관리;의류;아동복;대리점관리;판매관리;영업관리
R02541,3.0,,,0,0,2201;2204;2205;2707,4,2,1,
R02021,3.0,,,0,0,2101;2108;2201;2707,3,2,2,
R02069,3.0,,,0,0,2108;2110;2507,4,2,1,
R06224,3.0,,,0,0,2108;2707;2810,2,7,2,
R05623,3.0,,,0,0,2101;2201;2204;2205;2707,3,2,2,
R04911,3.0,,,0,0,2204;2205;2707,2,2,1,
R01080,3.0,,,0,0,2101;2108;2109;2110;2201;2203;2707,4,2,2,
R06695,3.0,,,0,0,2507;2707,3,2,1,
R03309,3.0,,,0,0,2507;2707,4,2,2,
